Keyword,Position,Word,Frequency,Log-Likelihood,Significance
Significance thresholds:,,,,,
,,,,LL >= 15.13,p < 0.0001
,,,,LL >= 10.83,p < 0.001
,,,,LL >= 6.63,p < 0.01
,,,,LL >= 3.84,p < 0.05
,,,,,
,,,,,
WORD: daulat,,,,,
surat,Right,tun,56,28.31,p < 0.0001
surat,Right,orang,48,0,not significant
surat,Right,baginda,44,17.7,p < 0.0001
surat,Right,atas,43,117.34,p < 0.0001
surat,Right,diarak,43,308.48,p < 0.0001
surat,Right,masuk,41,86.29,p < 0.0001
surat,Right,titah,40,23.5,p < 0.0001
surat,Right,terlalu,37,35.93,p < 0.0001
surat,Right,kepada,37,51.93,p < 0.0001
surat,Right,bentara,35,130.01,p < 0.0001
surat,Right,sembah,34,3.64,not significant
surat,Right,dinaikkan,33,234.43,p < 0.0001
surat,Right,hadapan,32,117.96,p < 0.0001
surat,Right,patih,32,15.89,p < 0.0001
surat,Right,tuanku,30,0,not significant
surat,Right,datang,29,0,not significant
surat,Right,betara,29,23.1,p < 0.0001
surat,Right,sampai,28,85.87,p < 0.0001
surat,Right,menteri,26,59.18,p < 0.0001
surat,Right,baik,26,39.7,p < 0.0001
surat,Right,melaka,25,0,not significant
surat,Right,menyembah,25,38.27,p < 0.0001
surat,Right,perahu,25,46.69,p < 0.0001
surat,Right,dibacanya,25,180.86,p < 0.0001
surat,Right,seri,24,16.38,p < 0.0001
surat,Right,keluar,23,47.05,p < 0.0001
surat,Right,kata,22,0,not significant
surat,Right,menengar,22,9.49,p < 0.01
surat,Right,dibaca,21,155.43,p < 0.0001
surat,Right,bunyibunyian,21,75.87,p < 0.0001
surat,Right,patik,20,0,not significant
surat,Right,bunyi,20,90.62,p < 0.0001
surat,Right,pegawai,20,13.81,p < 0.001
surat,Right,naik,20,24.07,p < 0.0001
surat,Right,tuah,20,0,not significant
surat,Right,mada,19,13.8,p < 0.001
,,,,,
WORD: allah,,,,,
allah,Left,maka,123,0,not significant
allah,Left,laksamana,73,53.85,p < 0.0001
allah,Left,pun,67,0,not significant
allah,Left,insya,60,512.6,p < 0.0001
allah,Left,raja,45,13.98,p < 0.001
allah,Left,tiada,37,55.23,p < 0.0001
allah,Left,tuanku,32,46.74,p < 0.0001
allah,Left,hamba,32,76.74,p < 0.0001
allah,Left,hendak,29,40.57,p < 0.0001
allah,Left,tun,29,15.76,p < 0.0001
allah,Left,kita,28,21.4,p < 0.0001
allah,Left,patik,27,18.54,p < 0.0001
allah,Left,kata,27,17.03,p < 0.0001
allah,Left,orang,26,0,not significant
allah,Left,tuah,24,20.62,p < 0.0001
allah,Left,daulat,24,58.02,p < 0.0001
allah,Left,sembah,23,15.62,p < 0.0001
allah,Left,melihat,20,45.84,p < 0.0001
allah,Left,kerana,19,17.35,p < 0.0001
allah,Left,allah,17,65.22,p < 0.0001
allah,Left,lalu,16,0,not significant
allah,Left,taala,16,66.04,p < 0.0001
